Alpha,Temp,Accuracy
0.95,2,0.844937
0.7,5,0.84375
0.95,5,0.843651
0.99,2,0.843552
0.999,2,0.843552
0.95,30,0.841377
0.7,10,0.840388
0.5,2,0.840091
0.999,20,0.839992
0.7,20,0.839498
0.3,10,0.839102
0.7,30,0.838904
0.9,5,0.838805
0.3,20,0.838608
0.99,20,0.837421
0.9,2,0.837421
0.3,30,0.837223
0.3,2,0.837223
0.5,10,0.83663
0.95,10,0.835245
0.3,5,0.83485
0.9,30,0.83485
0.5,5,0.834454
0.7,2,0.834355
0.9,10,0.834256
0.5,30,0.834059
0.95,20,0.833267
0.5,20,0.831784
0.9,20,0.827828
