Alpha,Temp,Accuracy
0.5,1.5,0.856903
0.95,10,0.856013
0.99,20,0.854826
0.05,1.5,0.853639
0.1,2,0.852947
0.99,10,0.852453
0.95,8,0.852354
0.5,8,0.851958
0.1,20,0.851661
0.99,8,0.851464
0.1,1.5,0.851365
0.1,4.5,0.850969
0.95,6,0.850475
0.95,4.5,0.850376
0.5,3,0.850178
0.05,4.5,0.849881
0.95,3,0.849684
0.05,8,0.848991
0.1,3,0.848596
0.1,10,0.848497
0.5,6,0.848398
0.05,6,0.848101
0.5,2,0.848002
0.1,8,0.847805
0.05,2,0.847508
0.95,20,0.847013
0.05,10,0.845827
0.5,10,0.845629
0.5,4.5,0.845332
0.1,6,0.844739
0.5,20,0.844244
0.05,20,0.843651
0.99,6,0.843552
0.05,3,0.843552
0.95,2,0.826048
0.99,4.5,0.823972
0.95,1.5,0.815269
0.99,3,0.783722
0.99,2,0.728639
0.99,1.5,0.666337
