Alpha,Temp,Accuracy
0.01,20,0.667128
0.95,6,0.665546
0.5,8,0.661887
0.1,2,0.661689
0.01,2,0.66159
0.01,40,0.661096
0.01,8,0.661096
0.95,4.5,0.660206
0.1,20,0.660206
0.95,10,0.65981
0.5,10,0.659711
0.01,4.5,0.659316
0.5,1,0.659118
0.95,40,0.658623
0.1,3,0.658327
0.1,40,0.657437
0.1,10,0.657041
0.999,20,0.656744
0.999,40,0.656349
0.5,40,0.656349
0.1,6,0.655854
0.01,6,0.655657
0.5,2,0.655162
0.01,1,0.655162
0.5,20,0.655162
0.1,8,0.654668
0.1,4.5,0.654272
0.5,3,0.653481
0.01,10,0.653085
0.95,20,0.652294
0.5,4.5,0.652195
0.5,6,0.651404
0.01,3,0.651206
0.95,3,0.65091
0.1,1,0.649723
0.95,2,0.648536
0.95,8,0.646361
0.999,10,0.614517
0.95,1,0.605617
0.999,8,0.537876
0.999,6,0.377373
0.999,4.5,0.237045
0.999,3,0.183841
0.999,2,0.170688
0.999,1,0.167326
