Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.779451	1.637048	34.004000	44.640000	
0.100000	1.213310	1.072667	56.402000	63.480000	
0.100000	0.922331	1.008916	67.522000	65.900000	
0.100000	0.769944	0.795217	73.476000	72.710000	
0.100000	0.677430	0.678843	76.784000	77.290000	
0.100000	0.620589	0.619343	79.006000	78.460000	
0.100000	0.576697	0.922988	80.232000	71.630000	
0.100000	0.549033	0.609397	81.354000	79.700000	
0.100000	0.521229	0.579511	82.460000	80.520000	
0.100000	0.498645	0.511538	83.204000	82.520000	
0.100000	0.484542	0.609523	83.536000	80.500000	
0.100000	0.467639	0.546138	84.246000	82.280000	
0.100000	0.458204	0.554913	84.552000	81.330000	
0.100000	0.441262	0.626131	85.140000	79.200000	
0.100000	0.436535	0.493408	85.246000	83.560000	
0.100000	0.426068	0.488091	85.754000	83.710000	
0.100000	0.416739	0.442067	85.780000	85.850000	
0.100000	0.408056	0.491410	86.136000	83.360000	
0.100000	0.400496	0.467945	86.372000	84.790000	
0.100000	0.397138	0.628688	86.780000	79.340000	
0.100000	0.391236	0.584013	86.852000	80.960000	
0.100000	0.385803	0.547838	87.040000	82.780000	
0.100000	0.374391	0.550688	87.344000	82.100000	
0.100000	0.377011	0.660536	87.284000	79.880000	
0.100000	0.369044	0.433100	87.654000	85.570000	
0.100000	0.369512	0.413660	87.412000	86.370000	
0.100000	0.370601	0.462190	87.506000	84.670000	
0.100000	0.363208	0.388307	87.894000	87.020000	
0.100000	0.361951	0.488757	87.888000	84.320000	
0.100000	0.359606	0.430877	87.850000	85.840000	
0.100000	0.354545	0.424868	88.040000	86.120000	
0.100000	0.355262	0.619939	88.112000	80.990000	
0.100000	0.352603	0.442665	88.064000	85.370000	
0.100000	0.354807	0.373621	88.110000	87.720000	
0.100000	0.347824	0.420815	88.454000	86.360000	
0.100000	0.356721	0.397750	88.090000	86.480000	
0.100000	0.350639	0.401976	88.308000	86.230000	
0.100000	0.347711	0.383042	88.290000	87.250000	
0.100000	0.349483	0.447216	88.224000	85.990000	
0.100000	0.345761	0.417180	88.370000	86.310000	
0.100000	0.342729	0.426960	88.620000	86.440000	
0.100000	0.345100	0.439817	88.190000	85.590000	
0.100000	0.338932	0.356721	88.630000	88.200000	
0.100000	0.341067	0.483014	88.468000	84.910000	
0.100000	0.343829	0.408143	88.476000	86.380000	
0.100000	0.334748	0.464845	88.744000	84.430000	
0.100000	0.335112	0.530362	88.644000	83.450000	
0.100000	0.339280	0.572158	88.678000	82.670000	
0.100000	0.334375	0.553570	88.814000	84.210000	
0.100000	0.336200	0.342615	88.634000	88.540000	
0.100000	0.340272	0.521504	88.610000	84.010000	
0.100000	0.334709	0.359435	88.722000	88.340000	
0.100000	0.336186	0.490175	88.660000	84.020000	
0.100000	0.331742	0.420117	88.770000	86.470000	
0.100000	0.330399	0.564988	88.848000	82.390000	
0.100000	0.332490	0.481237	88.888000	84.250000	
0.100000	0.329809	0.457148	88.922000	85.160000	
0.100000	0.331749	0.397396	88.798000	87.150000	
0.100000	0.331436	0.352712	88.960000	88.070000	
0.100000	0.327954	0.376677	89.150000	87.750000	
0.020000	0.167035	0.187505	94.534000	93.820000	
0.020000	0.129204	0.183695	95.782000	94.060000	
0.020000	0.107356	0.180849	96.488000	94.240000	
0.020000	0.102943	0.197203	96.528000	93.990000	
0.020000	0.093845	0.208089	96.920000	93.760000	
0.020000	0.093979	0.193093	96.904000	94.280000	
0.020000	0.088062	0.189788	97.104000	94.160000	
0.020000	0.086923	0.218140	97.090000	93.710000	
0.020000	0.089890	0.202015	97.022000	93.780000	
0.020000	0.089080	0.208331	97.020000	93.800000	
0.020000	0.090861	0.223591	96.962000	93.240000	
0.020000	0.092563	0.282577	96.866000	91.610000	
0.020000	0.095892	0.206837	96.764000	93.880000	
0.020000	0.098226	0.244617	96.748000	92.930000	
0.020000	0.096048	0.249074	96.872000	92.560000	
0.020000	0.104662	0.235289	96.500000	92.900000	
0.020000	0.098228	0.244220	96.742000	92.390000	
0.020000	0.100507	0.277793	96.668000	91.640000	
0.020000	0.101386	0.232057	96.704000	93.350000	
0.020000	0.100371	0.223365	96.592000	93.490000	
0.020000	0.102295	0.217158	96.626000	93.290000	
0.020000	0.098175	0.251157	96.742000	92.760000	
0.020000	0.101699	0.253740	96.668000	92.700000	
0.020000	0.100142	0.255359	96.682000	92.540000	
0.020000	0.099197	0.261038	96.682000	92.540000	
0.020000	0.098051	0.277398	96.734000	91.960000	
0.020000	0.099659	0.257898	96.710000	92.670000	
0.020000	0.099513	0.264221	96.712000	92.380000	
0.020000	0.103462	0.219390	96.498000	93.290000	
0.020000	0.101815	0.243313	96.614000	93.030000	
0.020000	0.098559	0.227108	96.752000	93.230000	
0.020000	0.100625	0.243946	96.630000	92.750000	
0.020000	0.096627	0.256586	96.844000	92.530000	
0.020000	0.101085	0.223518	96.658000	93.480000	
0.020000	0.097402	0.233646	96.788000	93.100000	
0.020000	0.092791	0.228955	96.936000	93.190000	
0.020000	0.095601	0.220173	96.786000	93.190000	
0.020000	0.099476	0.256911	96.708000	92.260000	
0.020000	0.094127	0.274095	96.866000	92.430000	
0.020000	0.095421	0.264944	96.794000	92.380000	
0.020000	0.090840	0.267439	97.070000	92.400000	
0.020000	0.098183	0.230548	96.678000	93.290000	
0.020000	0.093483	0.260151	96.872000	92.650000	
0.020000	0.093731	0.284805	96.870000	91.890000	
0.020000	0.091893	0.289629	96.954000	91.820000	
0.020000	0.094779	0.281316	96.900000	92.140000	
0.020000	0.094724	0.279518	96.818000	92.120000	
0.020000	0.093364	0.253299	96.922000	92.470000	
0.020000	0.087799	0.258421	97.160000	92.930000	
0.020000	0.094090	0.238967	96.960000	93.420000	
0.020000	0.089150	0.248726	97.070000	93.190000	
0.020000	0.093928	0.235130	96.988000	92.930000	
0.020000	0.091346	0.245116	96.922000	92.900000	
0.020000	0.090230	0.271285	96.964000	91.940000	
0.020000	0.092908	0.248180	96.998000	93.020000	
0.020000	0.089994	0.269622	97.064000	92.480000	
0.020000	0.095212	0.246862	96.940000	92.730000	
0.020000	0.098061	0.227413	96.734000	93.260000	
0.020000	0.088972	0.262807	97.090000	92.350000	
0.020000	0.090266	0.261355	97.002000	92.310000	
0.004000	0.034948	0.169610	99.010000	95.170000	
0.004000	0.019424	0.173173	99.494000	95.380000	
0.004000	0.014815	0.176841	99.664000	95.390000	
0.004000	0.012443	0.169705	99.696000	95.530000	
0.004000	0.010519	0.176088	99.748000	95.630000	
0.004000	0.009945	0.183047	99.782000	95.580000	
0.004000	0.008795	0.189159	99.810000	95.480000	
0.004000	0.008396	0.182975	99.808000	95.710000	
0.004000	0.007824	0.180760	99.818000	95.700000	
0.004000	0.007565	0.176086	99.846000	95.830000	
0.004000	0.007437	0.184573	99.860000	95.650000	
0.004000	0.006807	0.180775	99.874000	95.800000	
0.004000	0.006820	0.175601	99.860000	95.790000	
0.004000	0.006328	0.177118	99.894000	95.900000	
0.004000	0.006484	0.178584	99.886000	95.930000	
0.004000	0.006076	0.184579	99.888000	95.670000	
